zipcode,group
02303,N/A
02304,N/A
02305,N/A
02322,Cold
02324,Cold
02325,Cold
02327,N/A
02330,Cold
02331,N/A
02332,Cold
02333,Cold
02334,N/A
02337,N/A
02338,Cold
02339,Cold
02340,Cold
02341,Cold
02343,Cold
02344,Cold
02345,N/A
02346,Cold
02347,Cold
02348,Cold
02349,Cold
02350,N/A
02351,Cold
02355,N/A
02356,Cold
02357,Cold
02358,N/A
02359,Cold
02360,Cold
02361,N/A
02362,N/A
02364,Cold
02366,N/A
02367,Cold
02368,Cold
02370,Cold
02375,Cold
02379,Cold
02381,N/A
02382,Cold
02420,Cold
02421,Cold
02445,Cold
02446,Cold
02447,N/A
02451,Cold
02452,Cold
02453,Cold
02454,N/A
02455,N/A
02456,N/A
02457,N/A
02458,Cold
02459,Cold
02460,Cold
02461,Cold
02462,Cold
02464,Cold
02465,Cold
02466,Cold
02467,Cold
02468,Cold
02471,N/A
02472,Cold
02474,Cold
02475,N/A
02476,Cold
02477,Cold
02478,Cold
02479,N/A
02481,Cold
02482,Cold
02492,Cold
02493,Cold
02494,Cold
02495,N/A
02532,Cold
02534,N/A
02535,Cold
02536,Cold
02537,Cold
02538,Cold
02539,Cold
02540,Cold
02541,N/A
02542,Cold
02543,Cold
02552,N/A
02553,N/A
02554,Cold
02556,Cold
02557,Cold
02558,N/A
02559,Cold
02561,N/A
02562,Cold
02563,Cold
02564,N/A
02565,N/A
02568,Cold
02571,Cold
02573,N/A
02574,N/A
02575,N/A
02576,Cold
02584,N/A
02601,Cold
02630,Cold
02631,Cold
02632,Cold
02633,Cold
02634,N/A
02635,Cold
02636,Cold
02637,N/A
02638,Cold
02639,Cold
02641,N/A
02642,Cold
02643,N/A
02644,Cold
02645,Cold
02646,Cold
02647,N/A
02648,Cold
02649,Cold
02650,Cold
02651,N/A
02652,N/A
02653,Cold
02655,Cold
02657,Cold
02659,Cold
02660,Cold
02661,N/A
02662,N/A
02663,N/A
02664,Cold
02666,N/A
02667,Cold
02668,Cold
02669,N/A
02670,Cold
02671,Cold
02672,N/A
02673,Cold
02675,Cold
02702,Cold
02703,Cold
02712,N/A
02713,N/A
02714,N/A
02715,Cold
02717,Cold
02718,Cold
02719,Cold
02720,Cold
02721,Cold
02722,N/A
02723,Cold
02724,Cold
02725,Cold
02726,Cold
02738,Cold
02739,Cold
02740,Cold
02741,N/A
02742,N/A
02743,Cold
02744,Cold
02745,Cold
02746,Cold
02747,Cold
02748,Cold
02760,Cold
02761,N/A
02762,Cold
02763,Cold
02764,Cold
02766,Cold
02767,Cold
02768,N/A
02769,Cold
02770,Cold
02771,Cold
02777,Cold
02779,Cold
02780,Cold
02783,Cold
02790,Cold
02791,N/A
02801,N/A
02802,N/A
02804,Cold
02806,Cold
02807,N/A
02808,Cold
02809,Cold
02812,Cold
02813,Cold
02814,Cold
02815,Cold
02816,Cold
02817,Cold
02818,Cold
02822,Cold
02823,N/A
02824,N/A
02825,Cold
02826,N/A
02827,Cold
02828,Cold
02829,N/A
02830,Cold
02831,Cold
02832,Cold
02833,Cold
02835,Cold
02836,Cold
02837,Cold
02838,Cold
02839,Cold
02840,Cold
02841,Cold
02842,Cold
02852,Cold
02854,Cold
02857,Cold
02858,Cold
02859,Cold
02860,Cold
02861,Cold
02862,N/A
02863,Cold
02864,Cold
02865,Cold
02871,Cold
02872,N/A
02873,N/A
02874,Cold
02875,Cold
02876,Cold
02877,Cold
02878,Cold
02879,Cold
02880,N/A
02881,Cold
02882,Cold
02883,N/A
02885,Cold
02886,Cold
02887,N/A
02888,Cold
02889,Cold
02891,Cold
02892,Cold
02893,Cold
02894,Cold
02895,Cold
02896,Cold
02898,Cold
02901,N/A
02902,Cold
02903,Cold
02904,Cold
02905,Cold
02906,Cold
02907,Cold
02908,Cold
02909,Cold
02910,Cold
02911,Cold
02912,Cold
02914,Cold
02915,Cold
02916,Cold
02917,Cold
02918,Cold
02919,Cold
02920,Cold
02921,Cold
02940,N/A
03031,Cold
03032,Cold
03033,Cold
03034,Cold
03036,Cold
03037,Cold
03038,Cold
03040,N/A
03041,N/A
03042,Cold
03043,Cold
03044,Cold
03045,Cold
03046,Cold
03047,Cold
03048,Cold
03049,Cold
03051,Cold
03052,Cold
03053,Cold
03054,Cold
03055,Cold
03057,Cold
03060,Cold
03061,N/A
03062,Cold
03063,Cold
03064,Cold
03070,Cold
03071,Cold
03073,N/A
03076,Cold
03077,Cold
03079,Cold
03082,Cold
03084,Cold
03086,Cold
03087,Cold
03101,Cold
03102,Cold
03103,Cold
03104,Cold
03105,N/A
03106,Cold
03107,Cold
03108,N/A
03109,Cold
03110,Cold
03111,Cold
03215,N/A
03216,Cold
03217,Cold
03218,Cold
03220,Cold
03221,Cold
03222,Cold
03223,Cold
03224,Cold
03225,Cold
03226,Cold
03227,Cold
03229,Cold
03230,Cold
03231,N/A
03233,Cold
03234,Cold
03235,Cold
03237,Cold
03238,N/A
03240,Cold
03241,Cold
03242,Cold
03243,Cold
03244,Cold
03245,Cold
03246,Cold
03247,N/A
03249,Cold
03251,Cold
03252,N/A
03253,Cold
03254,Cold
03255,Cold
03256,Cold
03257,Cold
03258,Cold
03259,Cold
03260,N/A
03261,Cold
03262,Cold
03263,Cold
03264,Cold
03266,Cold
03268,Cold
03269,Cold
03272,N/A
03273,N/A
03274,N/A
03275,Cold
03276,Cold
03278,Cold
03279,Cold
03280,Cold
03281,Cold
03282,Cold
03284,Cold
03285,Cold
03287,Cold
03289,N/A
03290,Cold
03291,Cold
03293,N/A
03298,Cold
03299,Cold
03301,Cold
03302,N/A
03303,Cold
03304,Cold
03305,Cold
03307,Cold
03431,Cold
03435,Cold
03440,Cold
03441,Cold
03442,Cold
03443,Cold
03444,Cold
03445,Cold
03446,Cold
03447,Cold
03448,Cold
03449,Cold
03450,Cold
03451,Cold
03452,Cold
03455,Cold
03456,Cold
03457,Cold
03458,Cold
03461,Cold
03462,Cold
03464,Cold
03465,Cold
03466,Cold
03467,Cold
03468,N/A
03469,N/A
03470,Cold
03561,Cold
03570,Cold
03574,Cold
03575,N/A
03576,Cold
03579,Cold
03580,Cold
03581,Cold
03582,Cold
03583,Cold
03584,Cold
03585,Cold
03586,Cold
03588,Cold
03589,N/A
03590,Cold
03592,Cold
03593,Cold
03595,N/A
03597,N/A
03598,Cold
03601,Cold
03602,Cold
03603,Cold
03604,N/A
03605,Cold
03607,Cold
03608,Cold
03609,Cold
03740,Cold
03741,Cold
03743,Cold
03745,Cold
03746,N/A
03748,Cold
03749,N/A
03750,Cold
03751,N/A
03752,Cold
03753,Cold
03754,N/A
03755,Cold
03756,N/A
03765,Cold
03766,Cold
03768,Cold
03769,N/A
03770,Cold
03771,Cold
03773,Cold
03774,Cold
03777,Cold
03779,Cold
03780,Cold
03781,Cold
03782,Cold
03784,Cold
03785,Cold
03801,Cold
03802,N/A
03803,Cold
03804,N/A
03805,Cold
03809,Cold
03810,Cold
03811,Cold
03812,Cold
03813,Cold
03814,Cold
03815,Cold
03816,Cold
03817,Cold
03818,Cold
03819,Cold
03820,Cold
03821,N/A
03822,Cold
03823,Cold
03824,Cold
03825,Cold
03826,Cold
03827,Cold
03830,Cold
03832,N/A
03833,Cold
03835,Cold
03836,Cold
03837,Cold
03838,Cold
03839,Cold
03840,Cold
03841,Cold
03842,Cold
03843,N/A
03844,Cold
03845,Cold
03846,Cold
03847,N/A
03848,Cold
03849,Cold
03850,N/A
03851,Cold
03852,Cold
03853,Cold
03854,N/A
03855,Cold
03856,Cold
03857,Cold
03858,Cold
03859,N/A
03860,Cold
03861,Cold
03862,Cold
03864,Cold
03865,Cold
03866,N/A
03867,Cold
03868,Cold
03869,Cold
03870,Cold
03871,N/A
03872,Cold
03873,Cold
03874,Cold
03875,Cold
03878,Cold
03882,Cold
03883,Cold
03884,Cold
03885,Cold
03886,Cold
03887,Cold
03890,Cold
03894,Cold
03896,N/A
03897,Cold
03901,Cold
03902,Cold
03903,Cold
03904,Cold
03905,Cold
03906,Cold
03907,Cold
03908,Cold
03909,Cold
03910,N/A
03911,N/A
04001,Cold
04002,Cold
04003,Cold
04004,N/A
04005,Cold
04006,N/A
04007,N/A
04008,Cold
04009,Cold
04010,Cold
04011,Cold
04013,Cold
04014,N/A
04015,Cold
04016,N/A
04017,Cold
04019,N/A
04020,Cold
04021,Cold
04022,Cold
04024,Cold
04027,Cold
04028,N/A
04029,Cold
04030,Cold
04032,Cold
04033,Cold
04034,Cold
04037,Cold
04038,Cold
04039,Cold
04040,Cold
04041,Cold
04042,Cold
04043,Cold
04046,Cold
04047,Cold
04048,Cold
04049,Cold
04050,Cold
04051,Cold
04054,N/A
04055,Cold
04056,N/A
04057,N/A
04061,Cold
04062,Cold
04063,N/A
04064,Cold
04066,Cold
04068,Cold
04069,Cold
04070,N/A
04071,Cold
04072,Cold
04073,Cold
04074,Cold
04075,Cold
04076,Cold
04077,N/A
04078,N/A
04079,Cold
04082,N/A
04083,Cold
04084,Cold
04085,Cold
04086,Cold
04087,Cold
04088,Cold
04090,Cold
04091,Cold
04092,Cold
04093,Cold
04094,N/A
04095,Cold
04096,Cold
04097,Cold
04098,N/A
04101,Cold
04102,Cold
04103,Cold
04104,N/A
04105,Cold
04106,Cold
04107,Cold
04108,Cold
04109,Cold
04110,Cold
04112,N/A
04116,N/A
04122,Cold
04123,Cold
04124,Cold
04210,Cold
04211,N/A
04212,N/A
04216,Cold
04217,Cold
04219,Cold
04220,Cold
04221,Cold
04222,Cold
04223,N/A
04224,Cold
04225,Cold
04226,Cold
04227,N/A
04228,Cold
04230,N/A
04231,Cold
04234,N/A
04236,Cold
04237,Cold
04238,Cold
04239,Cold
04240,Cold
04241,N/A
04243,N/A
04250,Cold
04252,Cold
04253,Cold
04254,Cold
04255,Cold
04256,Cold
04257,Cold
04258,Cold
04259,Cold
04260,Cold
04261,Cold
04262,N/A
04263,Cold
04265,Cold
04266,N/A
04267,N/A
04268,Cold
04270,Cold
04271,N/A
04274,Cold
04275,Cold
04276,Cold
04280,Cold
04281,Cold
04282,Cold
04284,Cold
04285,Cold
04286,N/A
04287,Cold
04288,N/A
04289,Cold
04290,Cold
04291,N/A
04292,Cold
04294,Cold
04330,Cold
04332,N/A
04333,Cold
04336,Cold
04338,N/A
04341,N/A
04342,Cold
04343,N/A
04344,Cold
04345,Cold
04346,Cold
04347,Cold
04348,Cold
04349,Cold
04350,Cold
04351,Cold
04352,Cold
04353,Cold
04354,Cold
04355,Cold
04357,Cold
04358,Cold
04359,N/A
04360,Cold
04363,Cold
04364,Cold
04401,Cold
04402,N/A
04406,Cold
04408,Cold
04410,Cold
04411,Cold
04412,Cold
04413,Cold
04414,Cold
04415,N/A
04416,Cold
04417,Cold
04418,Cold
04419,Cold
04420,Cold
04421,Cold
04422,Cold
04424,Cold
04426,Cold
04427,Cold
04428,Cold
04429,Cold
04430,Cold
04431,N/A
04434,Cold
04435,Cold
04438,Cold
04441,Cold
04442,Cold
04443,Cold
04444,Cold
04448,Cold
04449,Cold
04450,Cold
04451,Very-Cold
04453,Cold
04454,N/A
04455,Cold
04456,Cold
04457,Cold
04459,Cold
04460,Cold
04461,Cold
04462,Cold
04463,Cold
04464,Cold
04467,N/A
04468,Cold
04469,Cold
04471,Very-Cold
04472,Cold
04473,Cold
04474,Cold
04475,Cold
04476,Cold
04478,Cold
04479,Cold
04481,N/A
04485,N/A
04487,Cold
04488,Cold
04489,N/A
04490,Cold
04491,N/A
04492,Cold
04493,Cold
04495,Cold
04496,Cold
04497,Very-Cold
04530,Cold
04535,Cold
04537,Cold
04538,Cold
04539,Cold
04541,Cold
04543,Cold
04544,Cold
04547,Cold
04548,Cold
04549,Cold
04551,Cold
04553,Cold
04554,Cold
04555,Cold
04556,Cold
04558,Cold
04562,Cold
04563,Cold
04564,Cold
04565,N/A
04568,Cold
04570,N/A
04571,Cold
04572,Cold
04573,Cold
04574,Cold
04575,N/A
04576,Cold
04578,Cold
04579,Cold
04605,Cold
04606,Cold
04607,Cold
04609,Cold
04611,N/A
04612,Cold
04613,Cold
04614,Cold
04616,Cold
04617,Cold
04619,Cold
04622,Cold
04623,Cold
04624,Cold
04625,N/A
04626,Cold
04627,Cold
04628,Cold
04629,N/A
04630,Cold
04631,Cold
04634,Cold
04635,N/A
04637,N/A
04640,Cold
04642,Cold
04643,Cold
04644,N/A
04645,N/A
04646,N/A
04648,Cold
04649,Cold
04650,Cold
04652,Cold
04653,Cold
04654,Cold
04655,Cold
04657,Cold
04658,Cold
04660,Cold
04662,N/A
04664,Cold
04666,Cold
04667,Cold
04668,Cold
04669,Cold
04671,Cold
04672,N/A
04673,Cold
04674,Cold
04675,N/A
04676,Cold
04677,Cold
04679,Cold
04680,Cold
04681,Cold
04683,Cold
04684,Cold
04685,Cold
04686,Cold
04691,Cold
04693,Cold
04694,Cold
04730,Very-Cold
04732,Very-Cold
04733,Very-Cold
04734,N/A
04735,Very-Cold
04736,Very-Cold
04737,Very-Cold
04738,N/A
04739,Very-Cold
04740,Very-Cold
04741,N/A
04742,Very-Cold
04743,Very-Cold
04744,N/A
04745,Very-Cold
04746,Very-Cold
04747,Very-Cold
04750,Very-Cold
04751,Very-Cold
04756,Very-Cold
04757,Very-Cold
04758,Very-Cold
04760,Very-Cold
04761,N/A
04762,Very-Cold
04763,Very-Cold
04764,Very-Cold
04765,Cold
04766,Very-Cold
04768,Very-Cold
04769,Very-Cold
04772,Very-Cold
04773,Very-Cold
04774,Very-Cold
04775,N/A
04776,Very-Cold
04777,Cold
04779,Very-Cold
04780,Very-Cold
04781,Very-Cold
04783,Very-Cold
04785,Very-Cold
04786,Very-Cold
04787,Very-Cold
04841,Cold
04843,Cold
04846,N/A
04847,Cold
04848,Cold
04849,Cold
04850,N/A
04851,N/A
04852,N/A
04853,Cold
04854,Cold
04855,N/A
04856,Cold
04858,Cold
04859,Cold
04860,Cold
04861,Cold
04862,Cold
04863,Cold
04864,Cold
04865,N/A
04901,Cold
04903,N/A
04910,Cold
04911,Cold
04912,Cold
04915,Cold
04917,Cold
04918,Cold
04920,Cold
04921,Cold
04922,Cold
04923,Cold
04924,Cold
04925,Cold
04926,N/A
04927,Cold
04928,Cold
04929,Cold
04930,Cold
04932,Cold
04933,N/A
04935,N/A
04936,Cold
04937,Cold
04938,Cold
04939,Cold
04940,N/A
04941,Cold
04942,Cold
04943,Cold
04944,N/A
04945,Cold
04947,Cold
04949,Cold
04950,Cold
04951,Cold
04952,Cold
04953,Cold
04954,N/A
04955,Cold
04956,Cold
04957,Cold
04958,Cold
04961,Cold
04962,Cold
04963,Cold
04964,N/A
04965,Cold
04966,Cold
04967,Cold
04969,Cold
04970,Cold
04971,Cold
04972,N/A
04973,Cold
04974,Cold
04975,N/A
04976,Cold
04978,Cold
04979,Cold
04981,Cold
04982,Cold
04983,Cold
04984,Cold
04985,Cold
04986,Cold
04987,Cold
04988,Cold
04989,Cold
04992,N/A
05001,Cold
05009,Cold
05030,N/A
05031,N/A
05032,Cold
05033,Cold
05034,Cold
05035,Cold
05036,Cold
05037,Cold
05038,Cold
05039,Cold
05040,Cold
05041,Cold
05042,Cold
05043,Cold
05045,Cold
05046,Cold
05047,N/A
05048,Cold
05049,N/A
05050,N/A
05051,Cold
05052,Cold
05053,Cold
05054,N/A
05055,Cold
05056,Cold
05058,Cold
05059,N/A
05060,Cold
05061,Cold
05062,Cold
05065,Cold
05067,Cold
05068,Cold
05069,Cold
05070,Cold
05071,Cold
05072,Cold
05073,Cold
05074,N/A
05075,Cold
05076,Cold
05077,Cold
05079,Cold
05081,Cold
05083,Cold
05084,Cold
05085,N/A
05086,Cold
05088,N/A
05089,Cold
05091,Cold
05101,Cold
05141,Cold
05142,Cold
05143,Cold
05144,N/A
05146,Cold
05148,Cold
05149,Cold
05150,Cold
05151,Cold
05152,Cold
05153,Cold
05154,Cold
05155,Cold
05156,Cold
05158,Cold
05159,N/A
05161,Cold
05201,Cold
05250,Cold
05251,Cold
05252,Cold
05253,Cold
05254,N/A
05255,Cold
05257,Cold
05260,Cold
05261,Cold
05262,Cold
05301,Cold
05302,N/A
05303,N/A
05304,N/A
05340,Cold
05341,Cold
05342,Cold
05343,Cold
05344,N/A
05345,Cold
05346,Cold
05350,Cold
05351,Cold
05352,Cold
05353,Cold
05354,Cold
05355,Cold
05356,Cold
05357,N/A
05358,Cold
05359,Cold
05360,Cold
05361,Cold
05362,Cold
05363,Cold
05401,Cold
05402,N/A
05403,Cold
05404,Cold
05405,Cold
05406,N/A
05407,N/A
05408,Cold
05439,Cold
05440,Cold
05441,Cold
05442,Cold
05443,Cold
05444,Cold
05445,Cold
05446,Cold
05447,Cold
05448,Cold
05449,N/A
05450,Cold
05451,N/A
05452,Cold
05453,N/A
05454,Cold
05455,Cold
05456,Cold
05457,Cold
05458,Cold
05459,Cold
05460,N/A
05461,Cold
05462,Cold
05463,Cold
05464,Cold
05465,Cold
05466,N/A
05468,Cold
05469,N/A
05470,N/A
05471,Cold
05472,Cold
